sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency	NP1	NP2	pronoun
87	44	expected	Mary abhorred Sarah because she	4	abhorred	low	3	Mary	Sarah	she
88	44	unexpected	David abhorred Sarah because she	4	abhorred	low	3	David	Sarah	she
89	45	expected	Sarah abhorred John because she	4	abhorred	low	3	Sarah	John	she
90	45	unexpected	David abhorred John because she	4	abhorred	low	3	David	John	she
91	46	expected	Sarah abhorred David because she	4	abhorred	low	3	Sarah	David	she
92	46	unexpected	John abhorred David because she	4	abhorred	low	3	John	David	she
93	47	expected	Sarah abhorred Mary because she	4	abhorred	low	3	Sarah	Mary	she
94	47	unexpected	John abhorred Mary because she	4	abhorred	low	3	John	Mary	she
95	48	expected	Sarah abhorred Mary because she	4	abhorred	low	3	Sarah	Mary	she
96	48	unexpected	David abhorred Mary because she	4	abhorred	low	3	David	Mary	she
97	49	expected	John acclaimed David because he	4	acclaimed	high	35	John	David	he
98	49	unexpected	Mary acclaimed David because he	4	acclaimed	high	35	Mary	David	he
99	50	expected	John acclaimed David because he	4	acclaimed	high	35	John	David	he
100	50	unexpected	Sarah acclaimed David because he	4	acclaimed	high	35	Sarah	David	he
101	51	expected	John acclaimed Mary because he	4	acclaimed	high	35	John	Mary	he
102	51	unexpected	Sarah acclaimed Mary because he	4	acclaimed	high	35	Sarah	Mary	he
103	52	expected	John acclaimed Sarah because he	4	acclaimed	high	35	John	Sarah	he
104	52	unexpected	Mary acclaimed Sarah because he	4	acclaimed	high	35	Mary	Sarah	he
105	53	expected	David acclaimed John because he	4	acclaimed	high	35	David	John	he
106	53	unexpected	Mary acclaimed John because he	4	acclaimed	high	35	Mary	John	he
107	54	expected	David acclaimed John because he	4	acclaimed	high	35	David	John	he
108	54	unexpected	Sarah acclaimed John because he	4	acclaimed	high	35	Sarah	John	he
109	55	expected	David acclaimed Mary because he	4	acclaimed	high	35	David	Mary	he
110	55	unexpected	Sarah acclaimed Mary because he	4	acclaimed	high	35	Sarah	Mary	he
111	56	expected	David acclaimed Sarah because he	4	acclaimed	high	35	David	Sarah	he
112	56	unexpected	Mary acclaimed Sarah because he	4	acclaimed	high	35	Mary	Sarah	he
113	57	expected	Mary acclaimed John because she	4	acclaimed	high	35	Mary	John	she
114	57	unexpected	David acclaimed John because she	4	acclaimed	high	35	David	John	she
115	58	expected	Mary acclaimed David because she	4	acclaimed	high	35	Mary	David	she
116	58	unexpected	John acclaimed David because she	4	acclaimed	high	35	John	David	she
117	59	expected	Mary acclaimed Sarah because she	4	acclaimed	high	35	Mary	Sarah	she
118	59	unexpected	John acclaimed Sarah because she	4	acclaimed	high	35	John	Sarah	she
119	60	expected	Mary acclaimed Sarah because she	4	acclaimed	high	35	Mary	Sarah	she
120	60	unexpected	David acclaimed Sarah because she	4	acclaimed	high	35	David	Sarah	she
121	61	expected	Sarah acclaimed John because she	4	acclaimed	high	35	Sarah	John	she
122	61	unexpected	David acclaimed John because she	4	acclaimed	high	35	David	John	she
123	62	expected	Sarah acclaimed David because she	4	acclaimed	high	35	Sarah	David	she
124	62	unexpected	John acclaimed David because she	4	acclaimed	high	35	John	David	she
125	63	expected	Sarah acclaimed Mary because she	4	acclaimed	high	35	Sarah	Mary	she
126	63	unexpected	John acclaimed Mary because she	4	acclaimed	high	35	John	Mary	she
127	64	expected	Sarah acclaimed Mary because she	4	acclaimed	high	35	Sarah	Mary	she
128	64	unexpected	David acclaimed Mary because she	4	acclaimed	high	35	David	Mary	she
129	65	expected	John accompanied David because he	4	accompanied	high	36	John	David	he
130	65	unexpected	Mary accompanied David because he	4	accompanied	high	36	Mary	David	he
131	66	expected	John accompanied David because he	4	accompanied	high	36	John	David	he
132	66	unexpected	Sarah accompanied David because he	4	accompanied	high	36	Sarah	David	he
133	67	expected	John accompanied Mary because he	4	accompanied	high	36	John	Mary	he
134	67	unexpected	Sarah accompanied Mary because he	4	accompanied	high	36	Sarah	Mary	he
135	68	expected	John accompanied Sarah because he	4	accompanied	high	36	John	Sarah	he
136	68	unexpected	Mary accompanied Sarah because he	4	accompanied	high	36	Mary	Sarah	he
137	69	expected	David accompanied John because he	4	accompanied	high	36	David	John	he
138	69	unexpected	Mary accompanied John because he	4	accompanied	high	36	Mary	John	he
139	70	expected	David accompanied John because he	4	accompanied	high	36	David	John	he
140	70	unexpected	Sarah accompanied John because he	4	accompanied	high	36	Sarah	John	he
141	71	expected	David accompanied Mary because he	4	accompanied	high	36	David	Mary	he
142	71	unexpected	Sarah accompanied Mary because he	4	accompanied	high	36	Sarah	Mary	he
143	72	expected	David accompanied Sarah because he	4	accompanied	high	36	David	Sarah	he
144	72	unexpected	Mary accompanied Sarah because he	4	accompanied	high	36	Mary	Sarah	he
145	73	expected	Mary accompanied John because she	4	accompanied	high	36	Mary	John	she
146	73	unexpected	David accompanied John because she	4	accompanied	high	36	David	John	she
147	74	expected	Mary accompanied David because she	4	accompanied	high	36	Mary	David	she
148	74	unexpected	John accompanied David because she	4	accompanied	high	36	John	David	she
149	75	expected	Mary accompanied Sarah because she	4	accompanied	high	36	Mary	Sarah	she
150	75	unexpected	John accompanied Sarah because she	4	accompanied	high	36	John	Sarah	she
151	76	expected	Mary accompanied Sarah because she	4	accompanied	high	36	Mary	Sarah	she
152	76	unexpected	David accompanied Sarah because she	4	accompanied	high	36	David	Sarah	she
153	77	expected	Sarah accompanied John because she	4	accompanied	high	36	Sarah	John	she
154	77	unexpected	David accompanied John because she	4	accompanied	high	36	David	John	she
155	78	expected	Sarah accompanied David because she	4	accompanied	high	36	Sarah	David	she
156	78	unexpected	John accompanied David because she	4	accompanied	high	36	John	David	she
157	79	expected	Sarah accompanied Mary because she	4	accompanied	high	36	Sarah	Mary	she
158	79	unexpected	John accompanied Mary because she	4	accompanied	high	36	John	Mary	she
159	80	expected	Sarah accompanied Mary because she	4	accompanied	high	36	Sarah	Mary	she
160	80	unexpected	David accompanied Mary because she	4	accompanied	high	36	David	Mary	she
161	81	expected	John accused David because he	4	accused	high	90	John	David	he
162	81	unexpected	Mary accused David because he	4	accused	high	90	Mary	David	he
163	82	expected	John accused David because he	4	accused	high	90	John	David	he
164	82	unexpected	Sarah accused David because he	4	accused	high	90	Sarah	David	he
165	83	expected	John accused Mary because he	4	accused	high	90	John	Mary	he
166	83	unexpected	Sarah accused Mary because he	4	accused	high	90	Sarah	Mary	he
167	84	expected	John accused Sarah because he	4	accused	high	90	John	Sarah	he
168	84	unexpected	Mary accused Sarah because he	4	accused	high	90	Mary	Sarah	he
169	85	expected	David accused John because he	4	accused	high	90	David	John	he
170	85	unexpected	Mary accused John because he	4	accused	high	90	Mary	John	he
171	86	expected	David accused John because he	4	accused	high	90	David	John	he
172	86	unexpected	Sarah accused John because he	4	accused	high	90	Sarah	John	he
173	87	expected	David accused Mary because he	4	accused	high	90	David	Mary	he
174	87	unexpected	Sarah accused Mary because he	4	accused	high	90	Sarah	Mary	he
175	88	expected	David accused Sarah because he	4	accused	high	90	David	Sarah	he
176	88	unexpected	Mary accused Sarah because he	4	accused	high	90	Mary	Sarah	he
177	89	expected	Mary accused John because she	4	accused	high	90	Mary	John	she
178	89	unexpected	David accused John because she	4	accused	high	90	David	John	she
179	90	expected	Mary accused David because she	4	accused	high	90	Mary	David	she
180	90	unexpected	John accused David because she	4	accused	high	90	John	David	she
181	91	expected	Mary accused Sarah because she	4	accused	high	90	Mary	Sarah	she
182	91	unexpected	John accused Sarah because she	4	accused	high	90	John	Sarah	she
183	92	expected	Mary accused Sarah because she	4	accused	high	90	Mary	Sarah	she
184	92	unexpected	David accused Sarah because she	4	accused	high	90	David	Sarah	she
185	93	expected	Sarah accused John because she	4	accused	high	90	Sarah	John	she
186	93	unexpected	David accused John because she	4	accused	high	90	David	John	she
187	94	expected	Sarah accused David because she	4	accused	high	90	Sarah	David	she
188	94	unexpected	John accused David because she	4	accused	high	90	John	David	she
189	95	expected	Sarah accused Mary because she	4	accused	high	90	Sarah	Mary	she
190	95	unexpected	John accused Mary because she	4	accused	high	90	John	Mary	she
191	96	expected	Sarah accused Mary because she	4	accused	high	90	Sarah	Mary	she
192	96	unexpected	David accused Mary because she	4	accused	high	90	David	Mary	she
193	97	expected	John admired David because he	4	admired	high	74	John	David	he
194	97	unexpected	Mary admired David because he	4	admired	high	74	Mary	David	he
195	98	expected	John admired David because he	4	admired	high	74	John	David	he
196	98	unexpected	Sarah admired David because he	4	admired	high	74	Sarah	David	he
197	99	expected	John admired Mary because he	4	admired	high	74	John	Mary	he
198	99	unexpected	Sarah admired Mary because he	4	admired	high	74	Sarah	Mary	he
199	100	expected	John admired Sarah because he	4	admired	high	74	John	Sarah	he
200	100	unexpected	Mary admired Sarah because he	4	admired	high	74	Mary	Sarah	he
201	101	expected	David admired John because he	4	admired	high	74	David	John	he
202	101	unexpected	Mary admired John because he	4	admired	high	74	Mary	John	he
203	102	expected	David admired John because he	4	admired	high	74	David	John	he
204	102	unexpected	Sarah admired John because he	4	admired	high	74	Sarah	John	he
205	103	expected	David admired Mary because he	4	admired	high	74	David	Mary	he
206	103	unexpected	Sarah admired Mary because he	4	admired	high	74	Sarah	Mary	he
207	104	expected	David admired Sarah because he	4	admired	high	74	David	Sarah	he
208	104	unexpected	Mary admired Sarah because he	4	admired	high	74	Mary	Sarah	he
209	105	expected	Mary admired John because she	4	admired	high	74	Mary	John	she
210	105	unexpected	David admired John because she	4	admired	high	74	David	John	she
211	106	expected	Mary admired David because she	4	admired	high	74	Mary	David	she
212	106	unexpected	John admired David because she	4	admired	high	74	John	David	she
213	107	expected	Mary admired Sarah because she	4	admired	high	74	Mary	Sarah	she
214	107	unexpected	John admired Sarah because she	4	admired	high	74	John	Sarah	she
215	108	expected	Mary admired Sarah because she	4	admired	high	74	Mary	Sarah	she
216	108	unexpected	David admired Sarah because she	4	admired	high	74	David	Sarah	she
217	109	expected	Sarah admired John because she	4	admired	high	74	Sarah	John	she
218	109	unexpected	David admired John because she	4	admired	high	74	David	John	she
219	110	expected	Sarah admired David because she	4	admired	high	74	Sarah	David	she
220	110	unexpected	John admired David because she	4	admired	high	74	John	David	she
221	111	expected	Sarah admired Mary because she	4	admired	high	74	Sarah	Mary	she
222	111	unexpected	John admired Mary because she	4	admired	high	74	John	Mary	she
223	112	expected	Sarah admired Mary because she	4	admired	high	74	Sarah	Mary	she
224	112	unexpected	David admired Mary because she	4	admired	high	74	David	Mary	she
225	113	expected	John admonished David because he	4	admonished	low	1	John	David	he
226	113	unexpected	Mary admonished David because he	4	admonished	low	1	Mary	David	he
227	114	expected	John admonished David because he	4	admonished	low	1	John	David	he
228	114	unexpected	Sarah admonished David because he	4	admonished	low	1	Sarah	David	he
229	115	expected	John admonished Mary because he	4	admonished	low	1	John	Mary	he
230	115	unexpected	Sarah admonished Mary because he	4	admonished	low	1	Sarah	Mary	he
231	116	expected	John admonished Sarah because he	4	admonished	low	1	John	Sarah	he
232	116	unexpected	Mary admonished Sarah because he	4	admonished	low	1	Mary	Sarah	he
233	117	expected	David admonished John because he	4	admonished	low	1	David	John	he
234	117	unexpected	Mary admonished John because he	4	admonished	low	1	Mary	John	he
235	118	expected	David admonished John because he	4	admonished	low	1	David	John	he
236	118	unexpected	Sarah admonished John because he	4	admonished	low	1	Sarah	John	he
237	119	expected	David admonished Mary because he	4	admonished	low	1	David	Mary	he
238	119	unexpected	Sarah admonished Mary because he	4	admonished	low	1	Sarah	Mary	he
239	120	expected	David admonished Sarah because he	4	admonished	low	1	David	Sarah	he
240	120	unexpected	Mary admonished Sarah because he	4	admonished	low	1	Mary	Sarah	he
241	121	expected	Mary admonished John because she	4	admonished	low	1	Mary	John	she
242	121	unexpected	David admonished John because she	4	admonished	low	1	David	John	she
243	122	expected	Mary admonished David because she	4	admonished	low	1	Mary	David	she
244	122	unexpected	John admonished David because she	4	admonished	low	1	John	David	she
245	123	expected	Mary admonished Sarah because she	4	admonished	low	1	Mary	Sarah	she
246	123	unexpected	John admonished Sarah because she	4	admonished	low	1	John	Sarah	she
247	124	expected	Mary admonished Sarah because she	4	admonished	low	1	Mary	Sarah	she
248	124	unexpected	David admonished Sarah because she	4	admonished	low	1	David	Sarah	she
249	125	expected	Sarah admonished John because she	4	admonished	low	1	Sarah	John	she
250	125	unexpected	David admonished John because she	4	admonished	low	1	David	John	she
251	126	expected	Sarah admonished David because she	4	admonished	low	1	Sarah	David	she
252	126	unexpected	John admonished David because she	4	admonished	low	1	John	David	she
253	127	expected	Sarah admonished Mary because she	4	admonished	low	1	Sarah	Mary	she
254	127	unexpected	John admonished Mary because she	4	admonished	low	1	John	Mary	she
255	128	expected	Sarah admonished Mary because she	4	admonished	low	1	Sarah	Mary	she
256	128	unexpected	David admonished Mary because she	4	admonished	low	1	David	Mary	she
257	129	expected	John adored David because he	4	adored	low	18	John	David	he
258	129	unexpected	Mary adored David because he	4	adored	low	18	Mary	David	he
259	130	expected	John adored David because he	4	adored	low	18	John	David	he
260	130	unexpected	Sarah adored David because he	4	adored	low	18	Sarah	David	he
261	131	expected	John adored Mary because he	4	adored	low	18	John	Mary	he
262	131	unexpected	Sarah adored Mary because he	4	adored	low	18	Sarah	Mary	he
263	132	expected	John adored Sarah because he	4	adored	low	18	John	Sarah	he
264	132	unexpected	Mary adored Sarah because he	4	adored	low	18	Mary	Sarah	he
265	133	expected	David adored John because he	4	adored	low	18	David	John	he
266	133	unexpected	Mary adored John because he	4	adored	low	18	Mary	John	he
267	134	expected	David adored John because he	4	adored	low	18	David	John	he
268	134	unexpected	Sarah adored John because he	4	adored	low	18	Sarah	John	he
269	135	expected	David adored Mary because he	4	adored	low	18	David	Mary	he
270	135	unexpected	Sarah adored Mary because he	4	adored	low	18	Sarah	Mary	he
271	136	expected	David adored Sarah because he	4	adored	low	18	David	Sarah	he
272	136	unexpected	Mary adored Sarah because he	4	adored	low	18	Mary	Sarah	he
273	137	expected	Mary adored John because she	4	adored	low	18	Mary	John	she
274	137	unexpected	David adored John because she	4	adored	low	18	David	John	she
275	138	expected	Mary adored David because she	4	adored	low	18	Mary	David	she
276	138	unexpected	John adored David because she	4	adored	low	18	John	David	she
277	139	expected	Mary adored Sarah because she	4	adored	low	18	Mary	Sarah	she
278	139	unexpected	John adored Sarah because she	4	adored	low	18	John	Sarah	she
279	140	expected	Mary adored Sarah because she	4	adored	low	18	Mary	Sarah	she
280	140	unexpected	David adored Sarah because she	4	adored	low	18	David	Sarah	she
281	141	expected	Sarah adored John because she	4	adored	low	18	Sarah	John	she
282	141	unexpected	David adored John because she	4	adored	low	18	David	John	she
283	142	expected	Sarah adored David because she	4	adored	low	18	Sarah	David	she
284	142	unexpected	John adored David because she	4	adored	low	18	John	David	she
285	143	expected	Sarah adored Mary because she	4	adored	low	18	Sarah	Mary	she
286	143	unexpected	John adored Mary because she	4	adored	low	18	John	Mary	she
287	144	expected	Sarah adored Mary because she	4	adored	low	18	Sarah	Mary	she
288	144	unexpected	David adored Mary because she	4	adored	low	18	David	Mary	she
289	145	expected	John advised David because he	4	advised	high	73	John	David	he
290	145	unexpected	Mary advised David because he	4	advised	high	73	Mary	David	he
291	146	expected	John advised David because he	4	advised	high	73	John	David	he
292	146	unexpected	Sarah advised David because he	4	advised	high	73	Sarah	David	he
293	147	expected	John advised Mary because he	4	advised	high	73	John	Mary	he
294	147	unexpected	Sarah advised Mary because he	4	advised	high	73	Sarah	Mary	he
295	148	expected	John advised Sarah because he	4	advised	high	73	John	Sarah	he
296	148	unexpected	Mary advised Sarah because he	4	advised	high	73	Mary	Sarah	he
297	149	expected	David advised John because he	4	advised	high	73	David	John	he
298	149	unexpected	Mary advised John because he	4	advised	high	73	Mary	John	he
299	150	expected	David advised John because he	4	advised	high	73	David	John	he
300	150	unexpected	Sarah advised John because he	4	advised	high	73	Sarah	John	he
301	151	expected	David advised Mary because he	4	advised	high	73	David	Mary	he
302	151	unexpected	Sarah advised Mary because he	4	advised	high	73	Sarah	Mary	he
303	152	expected	David advised Sarah because he	4	advised	high	73	David	Sarah	he
304	152	unexpected	Mary advised Sarah because he	4	advised	high	73	Mary	Sarah	he
305	153	expected	Mary advised John because she	4	advised	high	73	Mary	John	she
306	153	unexpected	David advised John because she	4	advised	high	73	David	John	she
307	154	expected	Mary advised David because she	4	advised	high	73	Mary	David	she
308	154	unexpected	John advised David because she	4	advised	high	73	John	David	she
309	155	expected	Mary advised Sarah because she	4	advised	high	73	Mary	Sarah	she
310	155	unexpected	John advised Sarah because she	4	advised	high	73	John	Sarah	she
311	156	expected	Mary advised Sarah because she	4	advised	high	73	Mary	Sarah	she
312	156	unexpected	David advised Sarah because she	4	advised	high	73	David	Sarah	she
313	157	expected	Sarah advised John because she	4	advised	high	73	Sarah	John	she
314	157	unexpected	David advised John because she	4	advised	high	73	David	John	she
315	158	expected	Sarah advised David because she	4	advised	high	73	Sarah	David	she
316	158	unexpected	John advised David because she	4	advised	high	73	John	David	she
317	159	expected	Sarah advised Mary because she	4	advised	high	73	Sarah	Mary	she
318	159	unexpected	John advised Mary because she	4	advised	high	73	John	Mary	she
319	160	expected	Sarah advised Mary because she	4	advised	high	73	Sarah	Mary	she
320	160	unexpected	David advised Mary because she	4	advised	high	73	David	Mary	she
321	161	expected	John affected David because he	4	affected	high	95	John	David	he
322	161	unexpected	Mary affected David because he	4	affected	high	95	Mary	David	he
323	162	expected	John affected David because he	4	affected	high	95	John	David	he
324	162	unexpected	Sarah affected David because he	4	affected	high	95	Sarah	David	he
325	163	expected	John affected Mary because he	4	affected	high	95	John	Mary	he
326	163	unexpected	Sarah affected Mary because he	4	affected	high	95	Sarah	Mary	he
327	164	expected	John affected Sarah because he	4	affected	high	95	John	Sarah	he
328	164	unexpected	Mary affected Sarah because he	4	affected	high	95	Mary	Sarah	he
329	165	expected	David affected John because he	4	affected	high	95	David	John	he
330	165	unexpected	Mary affected John because he	4	affected	high	95	Mary	John	he
331	166	expected	David affected John because he	4	affected	high	95	David	John	he
332	166	unexpected	Sarah affected John because he	4	affected	high	95	Sarah	John	he
333	167	expected	David affected Mary because he	4	affected	high	95	David	Mary	he
334	167	unexpected	Sarah affected Mary because he	4	affected	high	95	Sarah	Mary	he
335	168	expected	David affected Sarah because he	4	affected	high	95	David	Sarah	he
336	168	unexpected	Mary affected Sarah because he	4	affected	high	95	Mary	Sarah	he
337	169	expected	Mary affected John because she	4	affected	high	95	Mary	John	she
338	169	unexpected	David affected John because she	4	affected	high	95	David	John	she
339	170	expected	Mary affected David because she	4	affected	high	95	Mary	David	she
340	170	unexpected	John affected David because she	4	affected	high	95	John	David	she
341	171	expected	Mary affected Sarah because she	4	affected	high	95	Mary	Sarah	she
342	171	unexpected	John affected Sarah because she	4	affected	high	95	John	Sarah	she
343	172	expected	Mary affected Sarah because she	4	affected	high	95	Mary	Sarah	she
344	172	unexpected	David affected Sarah because she	4	affected	high	95	David	Sarah	she
345	173	expected	Sarah affected John because she	4	affected	high	95	Sarah	John	she
346	173	unexpected	David affected John because she	4	affected	high	95	David	John	she
347	174	expected	Sarah affected David because she	4	affected	high	95	Sarah	David	she
348	174	unexpected	John affected David because she	4	affected	high	95	John	David	she
349	175	expected	Sarah affected Mary because she	4	affected	high	95	Sarah	Mary	she
350	175	unexpected	John affected Mary because she	4	affected	high	95	John	Mary	she
351	176	expected	Sarah affected Mary because she	4	affected	high	95	Sarah	Mary	she
352	176	unexpected	David affected Mary because she	4	affected	high	95	David	Mary	she
353	177	expected	John affronted David because he	4	affronted	high	30	John	David	he
354	177	unexpected	Mary affronted David because he	4	affronted	high	30	Mary	David	he
355	178	expected	John affronted David because he	4	affronted	high	30	John	David	he
356	178	unexpected	Sarah affronted David because he	4	affronted	high	30	Sarah	David	he
357	179	expected	John affronted Mary because he	4	affronted	high	30	John	Mary	he
358	179	unexpected	Sarah affronted Mary because he	4	affronted	high	30	Sarah	Mary	he
359	180	expected	John affronted Sarah because he	4	affronted	high	30	John	Sarah	he
360	180	unexpected	Mary affronted Sarah because he	4	affronted	high	30	Mary	Sarah	he
361	181	expected	David affronted John because he	4	affronted	high	30	David	John	he
362	181	unexpected	Mary affronted John because he	4	affronted	high	30	Mary	John	he
363	182	expected	David affronted John because he	4	affronted	high	30	David	John	he
364	182	unexpected	Sarah affronted John because he	4	affronted	high	30	Sarah	John	he
365	183	expected	David affronted Mary because he	4	affronted	high	30	David	Mary	he
366	183	unexpected	Sarah affronted Mary because he	4	affronted	high	30	Sarah	Mary	he
367	184	expected	David affronted Sarah because he	4	affronted	high	30	David	Sarah	he
368	184	unexpected	Mary affronted Sarah because he	4	affronted	high	30	Mary	Sarah	he
369	185	expected	Mary affronted John because she	4	affronted	high	30	Mary	John	she
370	185	unexpected	David affronted John because she	4	affronted	high	30	David	John	she
371	186	expected	Mary affronted David because she	4	affronted	high	30	Mary	David	she
372	186	unexpected	John affronted David because she	4	affronted	high	30	John	David	she
373	187	expected	Mary affronted Sarah because she	4	affronted	high	30	Mary	Sarah	she
374	187	unexpected	John affronted Sarah because she	4	affronted	high	30	John	Sarah	she
375	188	expected	Mary affronted Sarah because she	4	affronted	high	30	Mary	Sarah	she
