sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency	NP1	NP2	pronoun
34	17	unexpected	Mary abhorred David because he	4	abhorred	low	3	John	Mary	he
35	18	expected	John abhorred David because he	4	abhorred	low	3	John	David	he
36	18	unexpected	Sarah abhorred David because he	4	abhorred	low	3	John	Sarah	he
37	19	expected	David abhorred John because he	4	abhorred	low	3	David	John	he
38	19	unexpected	Mary abhorred John because he	4	abhorred	low	3	David	Mary	he
39	20	expected	David abhorred John because he	4	abhorred	low	3	David	John	he
40	20	unexpected	Sarah abhorred John because he	4	abhorred	low	3	David	Sarah	he
41	21	expected	Mary abhorred Sarah because she	4	abhorred	low	3	Mary	Sarah	she
42	21	unexpected	John abhorred Sarah because she	4	abhorred	low	3	Mary	John	she
43	22	expected	Mary abhorred Sarah because she	4	abhorred	low	3	Mary	Sarah	she
44	22	unexpected	David abhorred Sarah because she	4	abhorred	low	3	Mary	David	she
45	23	expected	Sarah abhorred Mary because she	4	abhorred	low	3	Sarah	Mary	she
46	23	unexpected	John abhorred Mary because she	4	abhorred	low	3	Sarah	John	she
47	24	expected	Sarah abhorred Mary because she	4	abhorred	low	3	Sarah	Mary	she
48	24	unexpected	David abhorred Mary because she	4	abhorred	low	3	Sarah	David	she
49	25	expected	John acclaimed David because he	4	acclaimed	high	35	John	David	he
50	25	unexpected	Mary acclaimed David because he	4	acclaimed	high	35	John	Mary	he
51	26	expected	John acclaimed David because he	4	acclaimed	high	35	John	David	he
52	26	unexpected	Sarah acclaimed David because he	4	acclaimed	high	35	John	Sarah	he
53	27	expected	David acclaimed John because he	4	acclaimed	high	35	David	John	he
54	27	unexpected	Mary acclaimed John because he	4	acclaimed	high	35	David	Mary	he
55	28	expected	David acclaimed John because he	4	acclaimed	high	35	David	John	he
56	28	unexpected	Sarah acclaimed John because he	4	acclaimed	high	35	David	Sarah	he
57	29	expected	Mary acclaimed Sarah because she	4	acclaimed	high	35	Mary	Sarah	she
58	29	unexpected	John acclaimed Sarah because she	4	acclaimed	high	35	Mary	John	she
59	30	expected	Mary acclaimed Sarah because she	4	acclaimed	high	35	Mary	Sarah	she
60	30	unexpected	David acclaimed Sarah because she	4	acclaimed	high	35	Mary	David	she
61	31	expected	Sarah acclaimed Mary because she	4	acclaimed	high	35	Sarah	Mary	she
62	31	unexpected	John acclaimed Mary because she	4	acclaimed	high	35	Sarah	John	she
63	32	expected	Sarah acclaimed Mary because she	4	acclaimed	high	35	Sarah	Mary	she
64	32	unexpected	David acclaimed Mary because she	4	acclaimed	high	35	Sarah	David	she
65	33	expected	John accompanied David because he	4	accompanied	high	36	John	David	he
66	33	unexpected	Mary accompanied David because he	4	accompanied	high	36	John	Mary	he
67	34	expected	John accompanied David because he	4	accompanied	high	36	John	David	he
68	34	unexpected	Sarah accompanied David because he	4	accompanied	high	36	John	Sarah	he
69	35	expected	David accompanied John because he	4	accompanied	high	36	David	John	he
70	35	unexpected	Mary accompanied John because he	4	accompanied	high	36	David	Mary	he
71	36	expected	David accompanied John because he	4	accompanied	high	36	David	John	he
72	36	unexpected	Sarah accompanied John because he	4	accompanied	high	36	David	Sarah	he
73	37	expected	Mary accompanied Sarah because she	4	accompanied	high	36	Mary	Sarah	she
74	37	unexpected	John accompanied Sarah because she	4	accompanied	high	36	Mary	John	she
75	38	expected	Mary accompanied Sarah because she	4	accompanied	high	36	Mary	Sarah	she
76	38	unexpected	David accompanied Sarah because she	4	accompanied	high	36	Mary	David	she
77	39	expected	Sarah accompanied Mary because she	4	accompanied	high	36	Sarah	Mary	she
78	39	unexpected	John accompanied Mary because she	4	accompanied	high	36	Sarah	John	she
79	40	expected	Sarah accompanied Mary because she	4	accompanied	high	36	Sarah	Mary	she
80	40	unexpected	David accompanied Mary because she	4	accompanied	high	36	Sarah	David	she
81	41	expected	John accused David because he	4	accused	high	90	John	David	he
82	41	unexpected	Mary accused David because he	4	accused	high	90	John	Mary	he
83	42	expected	John accused David because he	4	accused	high	90	John	David	he
84	42	unexpected	Sarah accused David because he	4	accused	high	90	John	Sarah	he
85	43	expected	David accused John because he	4	accused	high	90	David	John	he
86	43	unexpected	Mary accused John because he	4	accused	high	90	David	Mary	he
87	44	expected	David accused John because he	4	accused	high	90	David	John	he
88	44	unexpected	Sarah accused John because he	4	accused	high	90	David	Sarah	he
89	45	expected	Mary accused Sarah because she	4	accused	high	90	Mary	Sarah	she
90	45	unexpected	John accused Sarah because she	4	accused	high	90	Mary	John	she
91	46	expected	Mary accused Sarah because she	4	accused	high	90	Mary	Sarah	she
92	46	unexpected	David accused Sarah because she	4	accused	high	90	Mary	David	she
93	47	expected	Sarah accused Mary because she	4	accused	high	90	Sarah	Mary	she
94	47	unexpected	John accused Mary because she	4	accused	high	90	Sarah	John	she
95	48	expected	Sarah accused Mary because she	4	accused	high	90	Sarah	Mary	she
96	48	unexpected	David accused Mary because she	4	accused	high	90	Sarah	David	she
97	49	expected	John admired David because he	4	admired	high	74	John	David	he
98	49	unexpected	Mary admired David because he	4	admired	high	74	John	Mary	he
99	50	expected	John admired David because he	4	admired	high	74	John	David	he
100	50	unexpected	Sarah admired David because he	4	admired	high	74	John	Sarah	he
101	51	expected	David admired John because he	4	admired	high	74	David	John	he
102	51	unexpected	Mary admired John because he	4	admired	high	74	David	Mary	he
103	52	expected	David admired John because he	4	admired	high	74	David	John	he
104	52	unexpected	Sarah admired John because he	4	admired	high	74	David	Sarah	he
105	53	expected	Mary admired Sarah because she	4	admired	high	74	Mary	Sarah	she
106	53	unexpected	John admired Sarah because she	4	admired	high	74	Mary	John	she
107	54	expected	Mary admired Sarah because she	4	admired	high	74	Mary	Sarah	she
108	54	unexpected	David admired Sarah because she	4	admired	high	74	Mary	David	she
109	55	expected	Sarah admired Mary because she	4	admired	high	74	Sarah	Mary	she
110	55	unexpected	John admired Mary because she	4	admired	high	74	Sarah	John	she
111	56	expected	Sarah admired Mary because she	4	admired	high	74	Sarah	Mary	she
112	56	unexpected	David admired Mary because she	4	admired	high	74	Sarah	David	she
113	57	expected	John admonished David because he	4	admonished	low	1	John	David	he
114	57	unexpected	Mary admonished David because he	4	admonished	low	1	John	Mary	he
115	58	expected	John admonished David because he	4	admonished	low	1	John	David	he
116	58	unexpected	Sarah admonished David because he	4	admonished	low	1	John	Sarah	he
117	59	expected	David admonished John because he	4	admonished	low	1	David	John	he
118	59	unexpected	Mary admonished John because he	4	admonished	low	1	David	Mary	he
119	60	expected	David admonished John because he	4	admonished	low	1	David	John	he
120	60	unexpected	Sarah admonished John because he	4	admonished	low	1	David	Sarah	he
121	61	expected	Mary admonished Sarah because she	4	admonished	low	1	Mary	Sarah	she
122	61	unexpected	John admonished Sarah because she	4	admonished	low	1	Mary	John	she
123	62	expected	Mary admonished Sarah because she	4	admonished	low	1	Mary	Sarah	she
124	62	unexpected	David admonished Sarah because she	4	admonished	low	1	Mary	David	she
125	63	expected	Sarah admonished Mary because she	4	admonished	low	1	Sarah	Mary	she
126	63	unexpected	John admonished Mary because she	4	admonished	low	1	Sarah	John	she
127	64	expected	Sarah admonished Mary because she	4	admonished	low	1	Sarah	Mary	she
128	64	unexpected	David admonished Mary because she	4	admonished	low	1	Sarah	David	she
129	65	expected	John adored David because he	4	adored	low	18	John	David	he
130	65	unexpected	Mary adored David because he	4	adored	low	18	John	Mary	he
131	66	expected	John adored David because he	4	adored	low	18	John	David	he
132	66	unexpected	Sarah adored David because he	4	adored	low	18	John	Sarah	he
133	67	expected	David adored John because he	4	adored	low	18	David	John	he
134	67	unexpected	Mary adored John because he	4	adored	low	18	David	Mary	he
135	68	expected	David adored John because he	4	adored	low	18	David	John	he
136	68	unexpected	Sarah adored John because he	4	adored	low	18	David	Sarah	he
137	69	expected	Mary adored Sarah because she	4	adored	low	18	Mary	Sarah	she
138	69	unexpected	John adored Sarah because she	4	adored	low	18	Mary	John	she
139	70	expected	Mary adored Sarah because she	4	adored	low	18	Mary	Sarah	she
140	70	unexpected	David adored Sarah because she	4	adored	low	18	Mary	David	she
141	71	expected	Sarah adored Mary because she	4	adored	low	18	Sarah	Mary	she
142	71	unexpected	John adored Mary because she	4	adored	low	18	Sarah	John	she
143	72	expected	Sarah adored Mary because she	4	adored	low	18	Sarah	Mary	she
144	72	unexpected	David adored Mary because she	4	adored	low	18	Sarah	David	she
145	73	expected	John advised David because he	4	advised	high	73	John	David	he
146	73	unexpected	Mary advised David because he	4	advised	high	73	John	Mary	he
147	74	expected	John advised David because he	4	advised	high	73	John	David	he
148	74	unexpected	Sarah advised David because he	4	advised	high	73	John	Sarah	he
149	75	expected	David advised John because he	4	advised	high	73	David	John	he
150	75	unexpected	Mary advised John because he	4	advised	high	73	David	Mary	he
151	76	expected	David advised John because he	4	advised	high	73	David	John	he
152	76	unexpected	Sarah advised John because he	4	advised	high	73	David	Sarah	he
153	77	expected	Mary advised Sarah because she	4	advised	high	73	Mary	Sarah	she
154	77	unexpected	John advised Sarah because she	4	advised	high	73	Mary	John	she
155	78	expected	Mary advised Sarah because she	4	advised	high	73	Mary	Sarah	she
156	78	unexpected	David advised Sarah because she	4	advised	high	73	Mary	David	she
157	79	expected	Sarah advised Mary because she	4	advised	high	73	Sarah	Mary	she
158	79	unexpected	John advised Mary because she	4	advised	high	73	Sarah	John	she
159	80	expected	Sarah advised Mary because she	4	advised	high	73	Sarah	Mary	she
160	80	unexpected	David advised Mary because she	4	advised	high	73	Sarah	David	she
161	81	expected	John affected David because he	4	affected	high	95	John	David	he
162	81	unexpected	Mary affected David because he	4	affected	high	95	John	Mary	he
163	82	expected	John affected David because he	4	affected	high	95	John	David	he
164	82	unexpected	Sarah affected David because he	4	affected	high	95	John	Sarah	he
165	83	expected	David affected John because he	4	affected	high	95	David	John	he
166	83	unexpected	Mary affected John because he	4	affected	high	95	David	Mary	he
167	84	expected	David affected John because he	4	affected	high	95	David	John	he
168	84	unexpected	Sarah affected John because he	4	affected	high	95	David	Sarah	he
169	85	expected	Mary affected Sarah because she	4	affected	high	95	Mary	Sarah	she
170	85	unexpected	John affected Sarah because she	4	affected	high	95	Mary	John	she
171	86	expected	Mary affected Sarah because she	4	affected	high	95	Mary	Sarah	she
172	86	unexpected	David affected Sarah because she	4	affected	high	95	Mary	David	she
173	87	expected	Sarah affected Mary because she	4	affected	high	95	Sarah	Mary	she
174	87	unexpected	John affected Mary because she	4	affected	high	95	Sarah	John	she
175	88	expected	Sarah affected Mary because she	4	affected	high	95	Sarah	Mary	she
176	88	unexpected	David affected Mary because she	4	affected	high	95	Sarah	David	she
177	89	expected	John affronted David because he	4	affronted	high	30	John	David	he
178	89	unexpected	Mary affronted David because he	4	affronted	high	30	John	Mary	he
179	90	expected	John affronted David because he	4	affronted	high	30	John	David	he
180	90	unexpected	Sarah affronted David because he	4	affronted	high	30	John	Sarah	he
181	91	expected	David affronted John because he	4	affronted	high	30	David	John	he
182	91	unexpected	Mary affronted John because he	4	affronted	high	30	David	Mary	he
183	92	expected	David affronted John because he	4	affronted	high	30	David	John	he
184	92	unexpected	Sarah affronted John because he	4	affronted	high	30	David	Sarah	he
185	93	expected	Mary affronted Sarah because she	4	affronted	high	30	Mary	Sarah	she
186	93	unexpected	John affronted Sarah because she	4	affronted	high	30	Mary	John	she
187	94	expected	Mary affronted Sarah because she	4	affronted	high	30	Mary	Sarah	she
188	94	unexpected	David affronted Sarah because she	4	affronted	high	30	Mary	David	she
189	95	expected	Sarah affronted Mary because she	4	affronted	high	30	Sarah	Mary	she
190	95	unexpected	John affronted Mary because she	4	affronted	high	30	Sarah	John	she
191	96	expected	Sarah affronted Mary because she	4	affronted	high	30	Sarah	Mary	she
192	96	unexpected	David affronted Mary because she	4	affronted	high	30	Sarah	David	she
193	97	expected	John aggravated David because he	4	aggravated	low	7	John	David	he
194	97	unexpected	Mary aggravated David because he	4	aggravated	low	7	John	Mary	he
195	98	expected	John aggravated David because he	4	aggravated	low	7	John	David	he
196	98	unexpected	Sarah aggravated David because he	4	aggravated	low	7	John	Sarah	he
197	99	expected	David aggravated John because he	4	aggravated	low	7	David	John	he
198	99	unexpected	Mary aggravated John because he	4	aggravated	low	7	David	Mary	he
199	100	expected	David aggravated John because he	4	aggravated	low	7	David	John	he
200	100	unexpected	Sarah aggravated John because he	4	aggravated	low	7	David	Sarah	he
201	101	expected	Mary aggravated Sarah because she	4	aggravated	low	7	Mary	Sarah	she
202	101	unexpected	John aggravated Sarah because she	4	aggravated	low	7	Mary	John	she
203	102	expected	Mary aggravated Sarah because she	4	aggravated	low	7	Mary	Sarah	she
204	102	unexpected	David aggravated Sarah because she	4	aggravated	low	7	Mary	David	she
205	103	expected	Sarah aggravated Mary because she	4	aggravated	low	7	Sarah	Mary	she
206	103	unexpected	John aggravated Mary because she	4	aggravated	low	7	Sarah	John	she
207	104	expected	Sarah aggravated Mary because she	4	aggravated	low	7	Sarah	Mary	she
208	104	unexpected	David aggravated Mary because she	4	aggravated	low	7	Sarah	David	she
209	105	expected	John agitated David because he	4	agitated	high	25	John	David	he
210	105	unexpected	Mary agitated David because he	4	agitated	high	25	John	Mary	he
211	106	expected	John agitated David because he	4	agitated	high	25	John	David	he
212	106	unexpected	Sarah agitated David because he	4	agitated	high	25	John	Sarah	he
213	107	expected	David agitated John because he	4	agitated	high	25	David	John	he
214	107	unexpected	Mary agitated John because he	4	agitated	high	25	David	Mary	he
215	108	expected	David agitated John because he	4	agitated	high	25	David	John	he
216	108	unexpected	Sarah agitated John because he	4	agitated	high	25	David	Sarah	he
217	109	expected	Mary agitated Sarah because she	4	agitated	high	25	Mary	Sarah	she
218	109	unexpected	John agitated Sarah because she	4	agitated	high	25	Mary	John	she
219	110	expected	Mary agitated Sarah because she	4	agitated	high	25	Mary	Sarah	she
220	110	unexpected	David agitated Sarah because she	4	agitated	high	25	Mary	David	she
221	111	expected	Sarah agitated Mary because she	4	agitated	high	25	Sarah	Mary	she
222	111	unexpected	John agitated Mary because she	4	agitated	high	25	Sarah	John	she
223	112	expected	Sarah agitated Mary because she	4	agitated	high	25	Sarah	Mary	she
224	112	unexpected	David agitated Mary because she	4	agitated	high	25	Sarah	David	she
225	113	expected	John alarmed David because he	4	alarmed	low	0	John	David	he
226	113	unexpected	Mary alarmed David because he	4	alarmed	low	0	John	Mary	he
227	114	expected	John alarmed David because he	4	alarmed	low	0	John	David	he
228	114	unexpected	Sarah alarmed David because he	4	alarmed	low	0	John	Sarah	he
229	115	expected	David alarmed John because he	4	alarmed	low	0	David	John	he
230	115	unexpected	Mary alarmed John because he	4	alarmed	low	0	David	Mary	he
231	116	expected	David alarmed John because he	4	alarmed	low	0	David	John	he
232	116	unexpected	Sarah alarmed John because he	4	alarmed	low	0	David	Sarah	he
233	117	expected	Mary alarmed Sarah because she	4	alarmed	low	0	Mary	Sarah	she
234	117	unexpected	John alarmed Sarah because she	4	alarmed	low	0	Mary	John	she
235	118	expected	Mary alarmed Sarah because she	4	alarmed	low	0	Mary	Sarah	she
236	118	unexpected	David alarmed Sarah because she	4	alarmed	low	0	Mary	David	she
237	119	expected	Sarah alarmed Mary because she	4	alarmed	low	0	Sarah	Mary	she
238	119	unexpected	John alarmed Mary because she	4	alarmed	low	0	Sarah	John	she
239	120	expected	Sarah alarmed Mary because she	4	alarmed	low	0	Sarah	Mary	she
240	120	unexpected	David alarmed Mary because she	4	alarmed	low	0	Sarah	David	she
241	121	expected	John alienated David because he	4	alienated	low	21	John	David	he
242	121	unexpected	Mary alienated David because he	4	alienated	low	21	John	Mary	he
243	122	expected	John alienated David because he	4	alienated	low	21	John	David	he
244	122	unexpected	Sarah alienated David because he	4	alienated	low	21	John	Sarah	he
245	123	expected	David alienated John because he	4	alienated	low	21	David	John	he
246	123	unexpected	Mary alienated John because he	4	alienated	low	21	David	Mary	he
247	124	expected	David alienated John because he	4	alienated	low	21	David	John	he
248	124	unexpected	Sarah alienated John because he	4	alienated	low	21	David	Sarah	he
249	125	expected	Mary alienated Sarah because she	4	alienated	low	21	Mary	Sarah	she
250	125	unexpected	John alienated Sarah because she	4	alienated	low	21	Mary	John	she
251	126	expected	Mary alienated Sarah because she	4	alienated	low	21	Mary	Sarah	she
252	126	unexpected	David alienated Sarah because she	4	alienated	low	21	Mary	David	she
253	127	expected	Sarah alienated Mary because she	4	alienated	low	21	Sarah	Mary	she
254	127	unexpected	John alienated Mary because she	4	alienated	low	21	Sarah	John	she
255	128	expected	Sarah alienated Mary because she	4	alienated	low	21	Sarah	Mary	she
256	128	unexpected	David alienated Mary because she	4	alienated	low	21	Sarah	David	she
257	129	expected	John amazed David because he	4	amazed	low	4	John	David	he
258	129	unexpected	Mary amazed David because he	4	amazed	low	4	John	Mary	he
259	130	expected	John amazed David because he	4	amazed	low	4	John	David	he
260	130	unexpected	Sarah amazed David because he	4	amazed	low	4	John	Sarah	he
261	131	expected	David amazed John because he	4	amazed	low	4	David	John	he
262	131	unexpected	Mary amazed John because he	4	amazed	low	4	David	Mary	he
263	132	expected	David amazed John because he	4	amazed	low	4	David	John	he
264	132	unexpected	Sarah amazed John because he	4	amazed	low	4	David	Sarah	he
265	133	expected	Mary amazed Sarah because she	4	amazed	low	4	Mary	Sarah	she
266	133	unexpected	John amazed Sarah because she	4	amazed	low	4	Mary	John	she
267	134	expected	Mary amazed Sarah because she	4	amazed	low	4	Mary	Sarah	she
268	134	unexpected	David amazed Sarah because she	4	amazed	low	4	Mary	David	she
269	135	expected	Sarah amazed Mary because she	4	amazed	low	4	Sarah	Mary	she
270	135	unexpected	John amazed Mary because she	4	amazed	low	4	Sarah	John	she
271	136	expected	Sarah amazed Mary because she	4	amazed	low	4	Sarah	Mary	she
272	136	unexpected	David amazed Mary because she	4	amazed	low	4	Sarah	David	she
273	137	expected	John amused David because he	4	amused	low	7	John	David	he
274	137	unexpected	Mary amused David because he	4	amused	low	7	John	Mary	he
275	138	expected	John amused David because he	4	amused	low	7	John	David	he
276	138	unexpected	Sarah amused David because he	4	amused	low	7	John	Sarah	he
277	139	expected	David amused John because he	4	amused	low	7	David	John	he
278	139	unexpected	Mary amused John because he	4	amused	low	7	David	Mary	he
279	140	expected	David amused John because he	4	amused	low	7	David	John	he
280	140	unexpected	Sarah amused John because he	4	amused	low	7	David	Sarah	he
281	141	expected	Mary amused Sarah because she	4	amused	low	7	Mary	Sarah	she
282	141	unexpected	John amused Sarah because she	4	amused	low	7	Mary	John	she
283	142	expected	Mary amused Sarah because she	4	amused	low	7	Mary	Sarah	she
284	142	unexpected	David amused Sarah because she	4	amused	low	7	Mary	David	she
285	143	expected	Sarah amused Mary because she	4	amused	low	7	Sarah	Mary	she
286	143	unexpected	John amused Mary because she	4	amused	low	7	Sarah	John	she
287	144	expected	Sarah amused Mary because she	4	amused	low	7	Sarah	Mary	she
288	144	unexpected	David amused Mary because she	4	amused	low	7	Sarah	David	she
289	145	expected	John angered David because he	4	angered	low	11	John	David	he
290	145	unexpected	Mary angered David because he	4	angered	low	11	John	Mary	he
291	146	expected	John angered David because he	4	angered	low	11	John	David	he
292	146	unexpected	Sarah angered David because he	4	angered	low	11	John	Sarah	he
293	147	expected	David angered John because he	4	angered	low	11	David	John	he
294	147	unexpected	Mary angered John because he	4	angered	low	11	David	Mary	he
295	148	expected	David angered John because he	4	angered	low	11	David	John	he
296	148	unexpected	Sarah angered John because he	4	angered	low	11	David	Sarah	he
297	149	expected	Mary angered Sarah because she	4	angered	low	11	Mary	Sarah	she
298	149	unexpected	John angered Sarah because she	4	angered	low	11	Mary	John	she
299	150	expected	Mary angered Sarah because she	4	angered	low	11	Mary	Sarah	she
300	150	unexpected	David angered Sarah because she	4	angered	low	11	Mary	David	she
301	151	expected	Sarah angered Mary because she	4	angered	low	11	Sarah	Mary	she
302	151	unexpected	John angered Mary because she	4	angered	low	11	Sarah	John	she
303	152	expected	Sarah angered Mary because she	4	angered	low	11	Sarah	Mary	she
304	152	unexpected	David angered Mary because she	4	angered	low	11	Sarah	David	she
305	153	expected	John annoyed David because he	4	annoyed	high	268	John	David	he
306	153	unexpected	Mary annoyed David because he	4	annoyed	high	268	John	Mary	he
307	154	expected	John annoyed David because he	4	annoyed	high	268	John	David	he
308	154	unexpected	Sarah annoyed David because he	4	annoyed	high	268	John	Sarah	he
309	155	expected	David annoyed John because he	4	annoyed	high	268	David	John	he
310	155	unexpected	Mary annoyed John because he	4	annoyed	high	268	David	Mary	he
311	156	expected	David annoyed John because he	4	annoyed	high	268	David	John	he
312	156	unexpected	Sarah annoyed John because he	4	annoyed	high	268	David	Sarah	he
313	157	expected	Mary annoyed Sarah because she	4	annoyed	high	268	Mary	Sarah	she
314	157	unexpected	John annoyed Sarah because she	4	annoyed	high	268	Mary	John	she
315	158	expected	Mary annoyed Sarah because she	4	annoyed	high	268	Mary	Sarah	she
316	158	unexpected	David annoyed Sarah because she	4	annoyed	high	268	Mary	David	she
317	159	expected	Sarah annoyed Mary because she	4	annoyed	high	268	Sarah	Mary	she
318	159	unexpected	John annoyed Mary because she	4	annoyed	high	268	Sarah	John	she
319	160	expected	Sarah annoyed Mary because she	4	annoyed	high	268	Sarah	Mary	she
320	160	unexpected	David annoyed Mary because she	4	annoyed	high	268	Sarah	David	she
321	161	expected	John answered David because he	4	answered	high	280	John	David	he
322	161	unexpected	Mary answered David because he	4	answered	high	280	John	Mary	he
323	162	expected	John answered David because he	4	answered	high	280	John	David	he
324	162	unexpected	Sarah answered David because he	4	answered	high	280	John	Sarah	he
325	163	expected	David answered John because he	4	answered	high	280	David	John	he
326	163	unexpected	Mary answered John because he	4	answered	high	280	David	Mary	he
327	164	expected	David answered John because he	4	answered	high	280	David	John	he
328	164	unexpected	Sarah answered John because he	4	answered	high	280	David	Sarah	he
329	165	expected	Mary answered Sarah because she	4	answered	high	280	Mary	Sarah	she
330	165	unexpected	John answered Sarah because she	4	answered	high	280	Mary	John	she
331	166	expected	Mary answered Sarah because she	4	answered	high	280	Mary	Sarah	she
332	166	unexpected	David answered Sarah because she	4	answered	high	280	Mary	David	she
333	167	expected	Sarah answered Mary because she	4	answered	high	280	Sarah	Mary	she
334	167	unexpected	John answered Mary because she	4	answered	high	280	Sarah	John	she
335	168	expected	Sarah answered Mary because she	4	answered	high	280	Sarah	Mary	she
336	168	unexpected	David answered Mary because she	4	answered	high	280	Sarah	David	she
337	169	expected	John antagonized David because he	4	antagonized	low	1	John	David	he
338	169	unexpected	Mary antagonized David because he	4	antagonized	low	1	John	Mary	he
339	170	expected	John antagonized David because he	4	antagonized	low	1	John	David	he
340	170	unexpected	Sarah antagonized David because he	4	antagonized	low	1	John	Sarah	he
341	171	expected	David antagonized John because he	4	antagonized	low	1	David	John	he
342	171	unexpected	Mary antagonized John because he	4	antagonized	low	1	David	Mary	he
343	172	expected	David antagonized John because he	4	antagonized	low	1	David	John	he
344	172	unexpected	Sarah antagonized John because he	4	antagonized	low	1	David	Sarah	he
345	173	expected	Mary antagonized Sarah because she	4	antagonized	low	1	Mary	Sarah	she
346	173	unexpected	John antagonized Sarah because she	4	antagonized	low	1	Mary	John	she
347	174	expected	Mary antagonized Sarah because she	4	antagonized	low	1	Mary	Sarah	she
348	174	unexpected	David antagonized Sarah because she	4	antagonized	low	1	Mary	David	she
349	175	expected	Sarah antagonized Mary because she	4	antagonized	low	1	Sarah	Mary	she
350	175	unexpected	John antagonized Mary because she	4	antagonized	low	1	Sarah	John	she
351	176	expected	Sarah antagonized Mary because she	4	antagonized	low	1	Sarah	Mary	she
352	176	unexpected	David antagonized Mary because she	4	antagonized	low	1	Sarah	David	she
353	177	expected	John apologized to David because he	5	apologized to	high	57	John	David	he
354	177	unexpected	Mary apologized to David because he	5	apologized to	high	57	John	Mary	he
355	178	expected	John apologized to David because he	5	apologized to	high	57	John	David	he
356	178	unexpected	Sarah apologized to David because he	5	apologized to	high	57	John	Sarah	he
357	179	expected	David apologized to John because he	5	apologized to	high	57	David	John	he
358	179	unexpected	Mary apologized to John because he	5	apologized to	high	57	David	Mary	he
359	180	expected	David apologized to John because he	5	apologized to	high	57	David	John	he
360	180	unexpected	Sarah apologized to John because he	5	apologized to	high	57	David	Sarah	he
361	181	expected	Mary apologized to Sarah because she	5	apologized to	high	57	Mary	Sarah	she
362	181	unexpected	John apologized to Sarah because she	5	apologized to	high	57	Mary	John	she
363	182	expected	Mary apologized to Sarah because she	5	apologized to	high	57	Mary	Sarah	she
364	182	unexpected	David apologized to Sarah because she	5	apologized to	high	57	Mary	David	she
365	183	expected	Sarah apologized to Mary because she	5	apologized to	high	57	Sarah	Mary	she
366	183	unexpected	John apologized to Mary because she	5	apologized to	high	57	Sarah	John	she
367	184	expected	Sarah apologized to Mary because she	5	apologized to	high	57	Sarah	Mary	she
368	184	unexpected	David apologized to Mary because she	5	apologized to	high	57	Sarah	David	she
369	185	expected	John appalled David because he	4	appalled	high	32	John	David	he
370	185	unexpected	Mary appalled David because he	4	appalled	high	32	John	Mary	he
371	186	expected	John appalled David because he	4	appalled	high	32	John	David	he
372	186	unexpected	Sarah appalled David because he	4	appalled	high	32	John	Sarah	he
373	187	expected	David appalled John because he	4	appalled	high	32	David	John	he
374	187	unexpected	Mary appalled John because he	4	appalled	high	32	David	Mary	he
